nome,Marca,descrizione,immagine,link
Leca CLS 1400: calcestruzzo leggero strutturale,Leca,premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECA-CLS-1400.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/lecacls-1400/
Leca CLS 1600: calcestruzzo leggero strutturale,Leca,premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECA-CLS-1600.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/lecacls-1600/
Leca CLS 1800: Calcestruzzo fibrato leggero,Leca,premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECA-CLS-1800.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/lecacls-1800/
Leca Inject-L Leggero: malta premiscelata leggera,Leca,Leca Inject-L Leggero: malta premiscelata leggera per riempimenti di vuoti e intercapedini murarie,https://www.leca.it/wp-content/uploads/2024/10/LECA-INJECT-L.jpeg,https://www.leca.it/prodotti/malte-fluide-alleggerite/leca-inject-l-leggero/
Leca Inject-R Rapido: malta premiscelata leggera a rapido indurimento,Leca,Leca Inject-R Rapido: malta premiscelata leggera a rapido indurimento per riempimenti di vuoti e cavità,https://www.leca.it/wp-content/uploads/2024/10/LECA-INJECT-R.jpeg,https://www.leca.it/prodotti/malte-fluide-alleggerite/leca-inject-r-rapido/
Leca Inject-S Strutturale: malta premiscelata leggera ad alte prestazioni,Leca,Leca Inject-S Strutturale: malta premiscelata leggera ad alte prestazioni (in classe R3) per riempimenti di vuoti e cavità,https://www.leca.it/wp-content/uploads/2024/10/LECA-INJECT-S.jpeg,https://www.leca.it/prodotti/malte-fluide-alleggerite/leca-inject-s-strutturale-malta-premiscelata/
Connettore Legno Doppia Orditura: rinforzo solai in legno,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2024/09/Connettore-Legno-Doppia-Orditura-4.png,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-legno-doppia-orditura-rinforzo-solai-in-legno/
Leca CLS 1800 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,https://www.leca.it/wp-content/uploads/2024/04/Sacco-CLS-1800-CAM-RB.jpeg,https://www.leca.it/prodotti/prodotti-cam/leca-cls-1800-cam-calcestruzzo-leggero-strutturale-conforme-ai-cam/
Mini connettore calcestruzzo,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2024/06/Mini-Connettore-Centro-Storico.jpg.png,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/mini-connettore-calcestruzzo-rinforzo-in-basso-spessore-di-solai-latero-cemento-e-calcestruzzo/
Leca CLS 1600 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,https://www.leca.it/wp-content/uploads/2024/04/Sacco-CLS-1600-CAM-RB.jpeg,https://www.leca.it/prodotti/prodotti-cam/leca-cls-1600-cam/
Leca CLS 1400 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,https://www.leca.it/wp-content/uploads/2024/04/Sacco-CLS-1400-CAM-RB.jpeg,https://www.leca.it/prodotti/prodotti-cam/leca-cls-1400-cam/
SuperGrip CentroStorico,Leca,"Promotore di adesione universale per lisciature, massetti, intonaci e rasature, in esterni ed esterni ed è privo di solventi",https://www.leca.it/wp-content/uploads/2024/02/SUPERGRIP.jpeg,https://www.leca.it/prodotti/preparazione-del-supporto/supergrip-centrostorico/
QUOTAZERO: massetto per strati di finitura e pendenze a basso spessore,Leca,"massetto terra umida, a basso spessore per esterni e interni",https://www.leca.it/wp-content/uploads/2022/10/QuotaZERO.jpeg,https://www.leca.it/prodotti/massetti-radianti-autolivellanti-e-sottili/quotazero/
PaRis Fluid: massetto autolivellante per pavimenti riscaldati.,Leca,massetto antiritiro e a basso spessore,https://www.leca.it/wp-content/uploads/2020/07/PaRis-Fluid.jpg,https://www.leca.it/prodotti/prodotti-cam/paris-fluid/
Connettore Legno: rinforzo solai in legno,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2025/02/connettore-centro-storico-legno-P30-3-1.jpg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-legno/
Connettore Acciaio Avvitato: rinforzo solai in acciaio,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2020/07/connettore-centrostorico-acciaio-P31-3.jpg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-acciaio-avvitato-per-rinforzo-solai-in-acciaio/
Connettore Acciaio Saldato: rinforzo solai mediante saldatura,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2021/11/connettore-acciaio-saldato-miniatura-render-centrostorico-1.jpg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-acciaio-saldato/
Connettore Acciaio Incollato: rinforzo con elementi in acciaio incollato,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2021/11/connettore-acciaio-incollato-render-centrostorico.jpg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-acciaio-incollato/
Connettore Calcestruzzo per il consolidamento dei solai in laterocemento,Leca,connettore meccanico per consolidamento statico,https://www.leca.it/wp-content/uploads/2022/03/connettore-consolidamento-solaio-calcestruzzo-centrostorico-laterlite-render-1.jpg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-calcestruzzo/
Leca: Argilla espansa per la bioedilizia,Leca,"per sottofondi, coperture, riempimenti, alleggerimenti, isolamenti e calcestruzzi",https://www.leca.it/wp-content/uploads/2020/07/LECA.jpeg,https://www.leca.it/prodotti/riempimenti-isolamenti-alleggerimenti/leca/
LecaPiù: argilla espansa a basso assorbimento d’acqua,Leca,per sottofondi di pavimenti sensibili all’umidità,https://www.leca.it/wp-content/uploads/2020/07/LECA-PIU.jpeg,https://www.leca.it/prodotti/riempimenti-isolamenti-alleggerimenti/lecapiu/
Leca TermoPiù: argilla espansa antirisalita di umidità,Leca,per sottofondi e vespai isolati contro terra,https://www.leca.it/wp-content/uploads/2020/07/LECA-TERMOPIu.jpeg,https://www.leca.it/prodotti/isolamenti-contro-terra/leca-termopiu/
TermoBag: sacconi per drenaggio pareti contro terra,Leca,per l'isolamento termico delle pareti contro terra,https://www.leca.it/wp-content/uploads/2020/07/TERMOBAG.jpeg,https://www.leca.it/prodotti/isolamenti-contro-terra/leca-termobag/
PaviLeca: riempimento granulare per massetti a secco,Leca,per sottofondi di pavimenti a secco,https://www.leca.it/wp-content/uploads/2020/07/PAVILECA.jpeg,https://www.leca.it/prodotti/sottofondi-a-secco/pavileca/
Lecacem Mini: Sottofondo alleggerito resistente a superficie chiusa,Leca,sottofondo alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECACEM-MINI.jpeg,https://www.leca.it/prodotti/sottofondi-alleggeriti/lecacem-mini/
Lecacem Classic: Sottofondo alleggerito a veloce asciugatura,Leca,sottofondo alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECACEM-CLASSIC.jpeg,https://www.leca.it/prodotti/sottofondi-alleggeriti/lecacem-classic/
Lecacem Maxi: Sottofondo alleggerito drenante ad alto spessore,Leca,sottofondo alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECACEM-MAXI.jpeg,https://www.leca.it/prodotti/sottofondi-alleggeriti/lecacem-maxi/
Sottofondo CentroStorico: leggero ad alta resistenza,Leca,sottofondo alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/Sottofondo-CR.jpeg,https://www.leca.it/prodotti/sottofondi-alleggeriti/sottofondo/
Sottofondo leggero NHL,Leca,sottofondo leggero predosato a base di pura calce idraulica naturale,https://www.leca.it/wp-content/uploads/2020/07/Sottofondo-Leggero-NHL.jpeg,https://www.leca.it/prodotti/sottofondi-alleggeriti/sottofondo-leggero-nhl/
Lecamix Fast: Massetto alleggerito a veloce asciugatura,Leca,massetto alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/LECAMIX-FAST.jpeg,https://www.leca.it/prodotti/massetti-alleggeriti-e-isolanti/lecamix-fast/
Lecamix Forte: Massetto alleggerito antiritiro,Leca,massetto alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/Lecamix-Forte.jpg,https://www.leca.it/prodotti/prodotti-cam/lecamix-forte/
Lecamix Facile: premiscelato in sacco per la realizzazione di massetti alleggeriti e massetti isolanti,Leca,massetto alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/Lecamix-Facile.jpg,https://www.leca.it/prodotti/massetti-alleggeriti-e-isolanti/lecamix-facile/
Massetto CentroStorico: massetto alleggerito fibrorinforzato,Leca,massetto alleggerito premiscelato in sacco,https://www.leca.it/wp-content/uploads/2020/07/Massetto-CR.jpeg,https://www.leca.it/prodotti/massetti-alleggeriti-e-isolanti/massetto/
Massetto Leggero NHL: massetto a base calce idraulica naturale,Leca,predosato leggero a base di calce idraulica naturale NHL 3.5,https://www.leca.it/wp-content/uploads/2020/07/Massetto-Leggero-NHL.jpeg,https://www.leca.it/prodotti/massetti-alleggeriti-e-isolanti/massetto-leggero-nhl/
PaRis 2.0: Massetto radiante ad alta conducibilità,Leca,"fibrorinforzato, ad altà conducibilità, a basso spessore ed ecosostenibile",https://www.leca.it/wp-content/uploads/2020/07/Paris-2.0-CAM.jpg,https://www.leca.it/prodotti/prodotti-cam/paris-2-0/
PaRis SLIM: Massetto radiante autolivellante a basso spessore,Leca,per pavimenti riscaldati e lisciature di fondi irregolari,https://www.leca.it/wp-content/uploads/2020/07/PaRis-SLIM.jpg,https://www.leca.it/prodotti/prodotti-cam/paris-slim/
ultraSLIM: livellina antiritiro per lisciatura e livellamento fondi irregolari,Leca,massetto fluido ultrasottile,https://www.leca.it/wp-content/uploads/2020/07/UltraSlim.jpg,https://www.leca.it/prodotti/prodotti-cam/ultraslim-livellina-antiritiro-per-lisciatura-e-livellamento-fondi-irregolari/
Massettomix Pronto: massetto pronto a rapida asciugatura,Leca,massetto premiscelato a rapida asciugatura,https://www.leca.it/wp-content/uploads/2020/07/MASSETTOMIX-PRONTO.jpeg,https://www.leca.it/prodotti/massetti-radianti-autolivellanti-e-sottili/massettomix-pronto/
Calcestruzzo CentroStorico: Calcestruzzo alleggerito fibrato,Leca,premiscelato in sacchi,https://www.leca.it/wp-content/uploads/2020/07/Calcestruzzo-CentroStorico.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/calcestruzzo/
Micro calcestruzzo CentroStorico,Leca,microcalcestruzzo fibrorinforzato a elevate prestazioni,https://www.leca.it/wp-content/uploads/2020/07/MICRO-Calcestruzzo-CentroStoric.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/micro-calcestruzzo-centrostorico/
Betoncino strutturale NHL: betoncino a base calce idraulica naturale,Leca,predosato leggero a base di calce idraulica naturale NHL 3.5,https://www.leca.it/wp-content/uploads/2020/07/Betoncino-strutturale-NHL.jpeg,https://www.leca.it/prodotti/calcestruzzi-leggeri-e-microcalcestruzzi/betoncino-strutturale-nhl/
Connettore chimico: adesivo epossidico per il rinforzo strutturale,Leca,connettore chimico per consolidamento statico,https://www.leca.it/wp-content/uploads/2023/08/software-calcolo-connettore-chimico.jpg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-chimico/
Connettore Perimetrale: collegamento solaio-pareti e cerchiatura antisismica,Leca,connettore perimetrale per consolidamento antisismico,https://www.leca.it/wp-content/uploads/2020/07/connettore-centrostorico-perimetrale-P34-1.jpg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/connettore-perimetrale-per-adeguamento-antisismico/
Ancorante Chimico: resina per il fissaggio di Connettore Perimetrale,Leca,ancorante per connettore perimetrale,https://www.leca.it/wp-content/uploads/2020/07/ANCORANTE-CHIMICO.jpeg,https://www.leca.it/prodotti/connettori-per-consolidamento-dei-solai/ancorante-chimico-per-il-fissaggio-strutturale-e-ancoraggio/
Materassino CentroStorico: Isolanti acustici sottopavimento,Leca,materassino anticalpestio sottopavimento,https://www.leca.it/wp-content/uploads/2020/07/rotolo-materassino-centrostorico-P37-1-icona.jpg,https://www.leca.it/prodotti/materassini-acustici/materassino/
Materassino CalpeStop: Isolante acustico al calpestio,Leca,materassino anticalpestio,https://www.leca.it/wp-content/uploads/2020/07/rotolo-calpestop-P36-1-icona.jpg,https://www.leca.it/prodotti/materassini-acustici/calpestop/
Termointonaco Laterlite: intonaco termico base calce o cemento,Leca,intonaco termico premiscelato,https://www.leca.it/wp-content/uploads/2020/07/TermoIntonaco.jpeg,https://www.leca.it/prodotti/intonaci-strutturali-isolanti/termointonaco/
Intonaco Tagliafuoco: Intonaco REI 180 protettivo al fuoco,Leca,intonaco REI premiscelato,https://www.leca.it/wp-content/uploads/2020/07/Intonaco-Tagliafuoco-3D-RB-2025.jpeg,https://www.leca.it/prodotti/intonaci-strutturali-isolanti/intonaco-tagliafuoco/
Malta Leca M5: Malta per muratura isolante premiscelata,Leca,malta premiscelata leggera,https://www.leca.it/wp-content/uploads/2020/07/MALTA-LECA-M5.jpeg,https://www.leca.it/prodotti/malte-isolanti-da-muratura/malta-leca-m5/
Malta Leca M10: Malta per muratura isolante premiscelata,Leca,malta premiscelata leggera,https://www.leca.it/wp-content/uploads/2020/07/MALTA-LECA-M10.jpeg,https://www.leca.it/prodotti/malte-isolanti-da-muratura/malta-leca-m10/
Malta Strutturale NHL: per intonaci e rinforzi a base calce idraulica naturale,Leca,predosato leggero a base di calce idraulica naturale NHL 3.5,https://www.leca.it/wp-content/uploads/2020/07/Malta-strutturale-NHL.jpeg,https://www.leca.it/prodotti/intonaci-strutturali-isolanti/malta-strutturale-nhl/
AgriLeca: Argilla espansa per giardini pensili,Leca,argilla espansa a PH neutro,https://www.leca.it/wp-content/uploads/2020/07/AGRILECA.jpeg,https://www.leca.it/prodotti/verde-e-drenaggi/agrileca/
AgriLaterLite: argilla espansa per piante in vaso e fioriere,Leca,palline di argilla espansa,https://www.leca.it/wp-content/uploads/2020/07/sacco-agrilaterlite-P44-1-icona.jpg,https://www.leca.it/prodotti/verde-e-drenaggi/agrilaterlite-argilla-espansa-piante-vaso-fioriere/
LecaGreen: Substrato colturale leggero,Leca,substrato per giardini pensili,https://www.leca.it/wp-content/uploads/2020/07/sacco-lecagreen-P45-1-icona.jpg,https://www.leca.it/prodotti/verde-e-drenaggi/lecagreen/
IdroLeca: Argilla espansa per coltura idroponica,Leca,argilla espansa per coltivazioni fuori suolo,https://www.leca.it/wp-content/uploads/2020/07/idroleca-coltivazioni-fuori-suolo-P46-icona.jpg,https://www.leca.it/prodotti/verde-e-drenaggi/idroleca/
LecaDrain: Strato drenante leggero e resistente,Leca,strato drenante per giardini pensili,https://www.leca.it/wp-content/uploads/2020/07/sacco-lecadrain-P47-1-icona.jpg,https://www.leca.it/prodotti/verde-e-drenaggi/lecadrain/
Membrana CentroStorico semi traspirante,Leca,membrana per la protezione dei solai in legno,https://www.leca.it/wp-content/uploads/2020/07/MEMBRANA-CS.jpeg,https://www.leca.it/prodotti/preparazione-del-supporto/membrana/
Lattice d’aggrappo e fissativo superficiale,Leca,promotore d'adesione e fissativo superficiale,https://www.leca.it/wp-content/uploads/2020/07/LATTICE-CS.jpeg,https://www.leca.it/prodotti/preparazione-del-supporto/lattice/
Primer CentroStorico: Resina epossidica bicomponente,Leca,primer antirisalita di umidità,https://www.leca.it/wp-content/uploads/2020/07/PRIMER-CS-secchio-RB-2025-.jpeg,https://www.leca.it/prodotti/preparazione-del-supporto/primer-centrostorico/
SabbiaLeca: argilla espansa per intonaci tagliafuoco,Leca,inerte leggero,https://www.leca.it/wp-content/uploads/2020/07/SABBIALECA.jpeg,https://www.leca.it/prodotti/altri-prodotti/sabbialeca/
Leca LCM: Argilla espansa per vasche di stoccaggio,Leca,per l'abbattimento delle emissioni inquinanti,https://www.leca.it/wp-content/uploads/2020/07/leca-lcm-azienda-agricola-la-visconta-vasche-stoccaggio-1.jpg,https://www.leca.it/prodotti/verde-e-drenaggi/leca-lcm/
Impastatrici LecaMix: Impastatrice per sottofondi e massetti,Leca,mescolatore a ciclo continuo,https://www.leca.it/wp-content/uploads/2020/07/impastatrici-lecamix-P55-1-icona-1.jpg,https://www.leca.it/prodotti/altri-prodotti/impastatrici-lecamix/
ReoLeca,Leca,betoncino leggero pompabile,https://www.leca.it/wp-content/uploads/2020/07/reoleca-P54-1-icona-1.jpg,https://www.leca.it/prodotti/altri-prodotti/reoleca/
